movie_title,release_date,genre,MPAA_rating,director,character,voice-actor,revenue
Blaze,13-Dec-89,Drama,R,Ethan Hawke,NA,NA,39884640.0
Toy Story,22-Nov-95,Adventure,G,John Lasseter,NA,NA,370409631.0
Prince of Persia: Sands of Time,28-May-10,Action,PG-13,Mike Newell,NA,NA,96971361.0
Eddie,31-May-96,Comedy,PG-13,Dexter Fletcher,NA,NA,59828966.0
White Fang 2: Myth of the White Wolf,15-Apr-94,Adventure,PG,Ken Olin,NA,NA,18083994.0
White Squall,2-Feb-96,Adventure,PG-13,Ridley Scott,NA,NA,19509726.0
The Invisible,27-Apr-07,Thriller/Suspense,PG-13,Leigh Whannell,NA,NA,25202168.0
Guilty as Sin,4-Jun-93,Thriller/Suspense,R,Sidney Lumet,NA,NA,46064723.0
Operation Dumbo Drop,28-Jul-95,Adventure,PG,Simon Wincer,NA,NA,47809421.0
Ghosts of the Abyss,11-Apr-03,Documentary,G,James Cameron,NA,NA,23803108.0
Scenes from a Mall,22-Feb-91,Comedy,NA,Paul Mazursky,NA,NA,19149495.0
The BFG,1-Jul-16,Adventure,PG,Steven Spielberg,NA,NA,55483770.0
Tron,9-Jul-82,Action,NA,Joseph Kosinski,NA,NA,77184895.0
Firelight,4-Sep-98,Drama,R,William Nicholson,NA,NA,1409943.0
Delivery Man,22-Nov-13,Comedy,PG-13,Ken Scott,NA,NA,31787136.0
New York Stories,1-Mar-89,Drama,PG,Francis Ford Coppola,NA,NA,22740861.0
Disorganized Crime,14-Apr-89,Comedy,NA,Jim Kouf,NA,NA,15233465.0
Tom and Huck,22-Dec-95,Adventure,PG,Peter Hewitt,NA,NA,45911517.0
Keeping the Faith,14-Apr-00,Romantic Comedy,PG-13,Edward Norton,NA,NA,57925202.0
Grosse Pointe Blank,11-Apr-97,Black Comedy,R,George Armitage,NA,NA,51579764.0
Indian Summer,23-Apr-93,Comedy,R,Mike Binder,NA,NA,29968953.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Buford the Cook,Michael Colyar,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Charlotte La Bouff,Jennifer Cody,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Cousin Randy,Randy Newman,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Dr. Facilier,Keith David,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,"Eli ""Big Daddy"" La Bouff",John Goodman,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Eudora,Oprah Winfrey,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Evangaline,None,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Harvey Fenner,Corey Burton,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Henry Fenner,Jerry Kernion,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Ian the Alligator,Kevin Michael Richardson,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Lawrence the Valet,Peter Bartlett,116316457.0
